date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
2021-03-13,23.0,0.1,0.8,21.0,14.0,2.0,0.9,0.2,0.1,25.0,14.0,0.5,1.0,2.0,3.0,2.0,6.0,12.0,11.0,0.4,3.0,5.0,2.0,8.0,18.0,2.0,0.3,5.0,13.0,0.1,10.0,0.5,17.0,5.0,0.1,7.0,3.0,1.2,11.0,0.1,7.0,0.2,32.0,120.0,0.3,0.2,12.0,1.0,1.0,1.0,1.0,36.0
2021-03-20,28.0,0.3,4.0,13.0,10.0,1.2,0.4,0.2,0.2,55.0,39.0,0.4,2.0,3.0,3.0,1.2,0.9,2.0,1.0,1.0,0.6,5.0,2.0,0.6,10.0,2.0,0.1,0.7,2.0,0.1,11.0,1.0,11.0,6.0,0.2,5.0,5.0,1.3,9.0,0.3,3.0,0.3,24.0,50.0,1.2,0.2,25.0,3.0,0.4,2.0,1.0,44.0
2021-03-27,18.0,0.3,3.0,14.0,16.0,1.0,0.9,0.1,0.2,49.0,26.0,0.1,1.0,2.0,8.0,10.0,1.0,1.0,9.0,0.4,1.0,2.2,1.7,1.5,8.0,2.0,0.1,1.0,1.3,0.1,7.0,0.2,13.0,3.0,0.1,6.0,4.0,1.2,10.0,0.1,6.0,0.2,33.0,55.0,1.0,0.2,26.0,1.0,0.5,1.0,3.0,28.0
2021-04-03,11.0,0.1,5.0,11.0,4.0,2.0,0.5,0.4,0.3,56.0,23.0,0.5,0.2,7.0,55.0,3.0,2.0,2.0,5.0,0.5,1.0,3.0,3.9,0.6,6.0,3.0,0.3,4.0,4.0,0.4,7.0,0.2,24.0,2.4,0.3,7.0,16.0,0.8,12.0,0.1,2.0,0.2,25.0,55.0,1.0,1.0,14.0,1.0,0.7,1.0,0.1,12.0
2021-04-10,13.0,0.1,4.0,14.0,7.0,1.0,0.4,0.4,0.1,39.0,8.0,0.3,1.0,7.0,11.0,1.0,6.0,1.0,9.0,0.1,1.5,4.0,5.0,2.2,9.0,4.0,2.0,1.0,3.0,1.0,9.0,2.0,27.0,3.0,1.0,4.1,8.0,1.4,16.0,0.4,1.0,0.3,22.0,61.0,1.1,0.1,18.0,1.0,0.4,1.7,0.1,27.0
2021-04-17,11.0,3.0,4.0,16.0,11.0,1.9,0.8,0.2,0.1,39.0,17.0,0.3,0.2,3.0,11.0,13.0,3.0,3.0,5.0,0.2,1.0,0.7,16.0,0.6,2.0,2.2,0.2,6.0,5.0,1.0,10.0,1.0,21.0,10.0,0.2,9.0,10.0,1.5,12.0,0.3,9.0,1.0,28.0,41.0,1.0,2.0,18.0,2.8,0.6,2.1,0.1,28.0
2021-04-24,32.0,7.0,3.0,18.0,13.0,1.0,1.4,2.0,0.2,49.0,20.0,0.1,0.2,1.3,5.0,2.0,4.0,6.0,16.0,0.4,2.4,1.0,11.0,1.0,10.0,3.0,0.1,5.0,7.0,1.0,10.0,0.3,21.0,57.0,0.3,3.0,5.0,1.6,12.0,0.4,7.0,5.0,22.0,51.0,0.4,0.1,32.0,2.0,1.0,1.0,0.1,25.0
2021-05-01,20.0,7.0,21.0,15.0,8.0,0.6,0.7,0.2,0.2,31.0,14.0,0.1,0.5,3.0,3.0,2.0,4.0,2.0,5.0,0.4,2.2,1.0,3.0,2.0,4.0,7.0,0.3,0.7,13.0,0.1,5.0,0.4,16.0,102.0,0.3,3.0,5.0,1.0,6.0,0.2,4.0,4.0,17.0,50.0,1.0,0.2,22.0,2.0,0.7,4.0,0.1,46.0
2021-05-08,14.0,7.0,2.0,6.0,13.0,1.6,1.0,0.2,0.2,38.0,24.0,0.5,0.2,3.9,2.0,2.0,10.0,3.0,6.0,1.0,1.0,2.0,2.3,1.0,9.0,3.0,0.5,0.6,2.0,3.0,8.0,0.6,12.0,34.0,0.2,1.2,8.0,0.9,19.0,0.1,2.0,3.0,14.0,36.0,1.2,3.0,22.0,2.0,1.0,2.2,1.0,24.0
2021-05-15,19.0,7.0,2.0,6.0,5.0,1.9,0.9,0.3,0.1,35.0,7.0,0.1,0.2,2.0,3.0,0.3,0.8,1.0,4.0,0.1,2.0,0.7,3.0,0.9,12.0,1.0,0.2,0.6,2.0,0.4,15.0,0.7,9.0,15.0,1.0,2.0,9.0,1.2,8.0,0.4,3.0,1.0,24.0,35.0,0.3,0.2,20.0,5.0,2.0,1.0,0.1,13.0
2021-05-22,16.0,7.0,5.0,3.0,13.0,1.0,0.6,0.2,0.1,35.0,16.0,0.1,0.2,3.0,4.0,1.0,2.0,2.0,6.0,0.1,0.8,1.4,3.2,0.6,15.0,2.0,0.1,5.0,0.9,0.3,6.0,1.0,23.0,12.0,0.1,3.0,8.0,1.5,14.0,0.1,8.0,0.1,10.0,41.0,1.0,0.1,13.0,3.0,1.0,1.7,2.0,14.0
2021-05-29,15.0,8.0,0.7,1.0,9.0,1.0,0.4,0.1,0.1,31.0,8.0,0.5,0.2,2.0,3.0,1.0,0.5,7.0,9.0,0.4,0.8,1.4,2.0,1.4,10.0,3.0,0.1,0.4,0.6,0.3,4.0,0.4,15.0,6.0,10.0,3.0,10.0,1.0,21.0,0.1,1.5,2.0,5.0,38.0,0.8,0.2,11.0,2.7,0.2,3.0,0.1,6.0
2021-06-05,18.0,7.0,3.0,7.0,5.3,2.3,0.8,0.3,0.1,23.0,9.0,0.5,0.3,3.0,4.0,1.0,0.6,2.0,17.0,0.2,2.0,2.5,1.1,1.1,11.0,2.5,0.4,0.6,2.0,0.4,2.0,3.0,14.0,3.7,0.2,2.9,9.0,0.4,9.0,0.2,2.0,0.3,34.0,46.0,1.3,0.1,16.0,2.0,0.3,2.0,0.1,5.0
2021-06-12,22.0,7.0,3.0,1.0,6.0,1.4,0.8,0.1,0.3,13.0,9.0,0.2,1.0,3.3,2.5,1.0,0.3,3.0,14.0,0.3,1.0,1.2,3.2,2.1,13.0,1.4,0.2,0.4,3.0,0.3,6.0,2.0,6.0,9.0,0.2,3.0,5.0,1.3,15.0,0.3,0.5,8.0,11.0,39.0,1.1,0.1,13.0,3.0,0.5,1.0,8.0,9.0
2021-06-19,8.0,7.0,3.0,4.0,9.0,2.0,0.4,0.2,0.1,12.0,7.0,0.3,0.2,3.0,2.0,1.2,0.5,4.0,9.0,0.3,2.0,1.0,3.1,1.0,9.0,1.8,1.0,0.7,9.0,0.4,5.0,0.2,2.0,6.0,1.0,3.0,6.0,1.0,11.0,0.3,1.1,4.0,11.0,34.0,0.3,0.1,20.0,2.7,0.5,1.3,4.0,16.0
2021-06-26,7.0,7.0,3.0,4.0,6.0,1.8,0.4,0.3,0.1,20.0,3.0,0.1,1.0,4.0,3.0,0.7,3.0,1.0,8.0,0.2,2.0,1.0,1.4,0.8,8.0,2.0,0.2,0.7,2.0,0.3,5.0,1.0,3.1,6.0,2.0,4.6,7.0,0.4,11.0,0.1,1.7,3.0,10.0,36.0,1.4,0.2,18.0,2.1,0.4,0.6,0.1,19.0
2021-07-03,18.0,7.0,3.0,2.0,5.0,1.0,0.8,0.1,0.1,20.0,8.0,0.1,0.2,4.0,2.0,1.1,2.0,3.0,9.0,0.2,2.0,0.8,3.5,0.6,9.0,1.0,0.1,0.7,1.0,0.1,2.0,0.4,2.0,5.0,1.0,2.0,5.0,1.0,12.0,0.1,0.7,2.0,8.0,54.0,1.0,0.1,12.0,0.9,0.2,2.1,0.2,18.0
2021-07-10,7.0,7.0,2.0,1.0,8.0,0.7,0.7,0.3,1.0,22.0,4.0,1.0,0.7,5.0,4.0,0.4,1.1,0.5,19.0,0.1,1.2,0.7,3.9,0.7,1.0,3.0,0.2,0.7,2.0,0.1,4.0,0.5,7.3,4.0,4.0,3.2,6.0,1.0,9.0,0.4,0.5,4.0,6.0,76.0,1.0,0.2,19.0,2.4,0.6,1.6,0.1,21.0
2021-07-17,18.0,7.0,1.3,1.0,7.0,0.8,0.6,0.2,0.1,39.0,4.0,1.0,0.2,5.0,9.0,1.0,4.0,1.5,26.0,0.2,1.3,1.5,1.2,1.7,6.0,1.0,0.4,0.5,3.0,0.3,2.0,0.6,3.0,6.0,2.0,3.1,9.0,0.5,7.0,0.2,0.5,2.0,15.0,84.0,1.0,0.1,15.0,1.8,1.0,0.6,0.2,13.0
2021-07-24,15.0,8.0,2.0,1.0,8.0,2.1,0.4,0.1,0.2,25.0,15.0,0.4,0.4,6.0,11.0,0.8,0.8,3.0,2.0,0.5,1.6,0.7,1.6,0.6,6.0,4.0,0.4,0.5,2.0,0.5,4.0,3.0,2.7,8.0,1.0,2.6,8.0,0.4,13.0,0.3,0.5,1.0,2.0,74.0,0.4,0.1,21.0,1.0,0.6,1.5,0.1,19.0
2021-07-31,45.0,7.0,1.0,0.4,6.0,0.6,1.0,0.2,0.1,22.0,11.0,0.4,0.3,6.0,25.0,1.2,1.1,1.7,17.0,0.5,0.6,1.7,1.0,1.3,3.0,2.0,0.2,0.5,0.3,0.1,4.0,1.0,5.5,10.0,2.0,5.0,9.0,0.7,14.0,0.4,2.0,1.0,11.0,41.0,1.3,0.1,21.0,3.1,0.6,1.0,0.1,12.0
2021-08-07,29.0,7.0,2.0,3.0,11.0,1.0,0.6,0.3,0.2,40.0,16.0,2.0,0.2,6.0,29.0,0.9,2.0,3.0,32.0,0.4,0.6,2.2,2.0,1.2,0.4,2.0,0.3,0.8,0.3,0.1,1.0,3.0,7.0,3.0,4.0,29.0,23.0,0.7,17.0,0.2,1.0,0.4,8.0,25.0,0.3,0.1,16.0,1.0,0.6,1.0,0.1,23.0
2021-08-14,22.0,7.0,9.0,2.0,13.0,1.0,1.0,0.3,0.1,32.0,10.0,2.0,0.2,5.0,25.0,0.3,1.0,2.0,18.0,0.2,1.0,1.0,1.0,0.7,3.0,2.0,0.1,0.2,1.0,0.3,3.0,1.0,7.0,15.0,3.0,5.0,10.0,0.4,8.0,0.1,5.0,1.0,16.0,16.0,0.5,0.1,23.0,2.7,0.6,0.6,0.1,21.0
2021-08-21,30.0,7.0,9.0,3.0,6.0,0.6,1.1,0.2,0.1,29.0,15.0,0.4,0.8,4.0,34.0,3.0,0.6,1.5,2.0,0.5,0.9,2.0,2.0,0.6,5.0,4.0,0.4,0.2,2.0,0.1,2.0,1.0,8.0,8.0,1.0,2.0,4.0,5.0,9.0,0.2,4.0,6.0,9.0,14.0,0.3,0.2,24.0,1.0,0.5,2.3,0.1,27.0
2021-08-28,41.0,7.0,7.0,5.0,4.0,1.0,1.4,0.1,0.1,21.0,12.0,0.1,0.6,1.3,16.0,0.4,1.0,1.0,11.0,0.5,0.6,2.4,2.0,2.0,15.0,4.0,0.4,1.0,6.0,0.3,6.0,0.3,7.0,4.0,3.0,1.2,8.0,2.0,10.0,0.3,1.0,0.1,10.0,11.0,0.5,2.0,7.0,2.5,0.5,1.3,0.1,33.0
2021-09-04,47.0,7.0,4.0,2.0,7.7,3.0,0.4,0.1,0.1,11.0,28.0,0.1,0.2,1.6,22.0,0.3,2.0,0.5,10.0,0.4,2.0,2.0,2.0,1.0,18.0,2.0,0.4,0.3,1.0,0.1,3.0,2.0,8.0,8.0,2.0,1.2,10.0,0.9,17.0,0.4,2.0,1.0,19.0,15.0,1.1,0.1,9.0,3.1,0.4,1.0,0.1,23.0
2021-09-11,30.0,7.0,1.0,0.3,7.0,2.0,0.4,0.2,0.1,16.0,36.0,0.1,0.8,1.4,13.0,1.0,1.1,2.0,3.0,0.6,1.8,1.5,2.3,1.3,6.0,2.0,0.1,1.0,0.6,0.4,3.0,0.2,8.0,13.0,7.0,3.0,12.0,2.0,13.0,0.1,0.5,0.1,8.0,20.0,1.0,0.2,7.0,1.3,0.7,0.6,0.1,20.0
2021-09-18,30.0,7.0,2.0,2.0,5.0,1.8,1.1,0.1,0.2,28.0,21.0,0.2,0.6,1.3,12.0,0.3,0.3,1.6,4.0,0.2,0.6,0.7,2.7,3.0,1.0,1.0,7.0,1.0,4.0,0.5,3.0,0.2,8.0,13.0,2.0,6.0,7.0,2.0,12.0,0.2,2.0,0.1,14.0,17.0,1.0,0.2,17.0,2.6,0.3,0.6,0.1,29.0
2021-09-25,15.0,7.0,1.0,3.0,8.0,0.6,0.7,0.2,0.3,19.0,24.0,1.0,0.2,4.0,15.0,9.0,2.0,2.0,6.0,0.3,2.3,1.1,1.0,1.8,5.0,2.0,1.0,2.0,1.0,0.1,7.0,1.0,9.0,5.0,1.0,2.0,12.0,0.6,9.0,0.2,1.5,0.1,6.0,13.0,1.0,0.2,11.0,1.0,2.0,12.0,0.2,17.0
2021-10-02,7.0,5.0,6.0,0.8,8.0,1.9,0.7,0.2,0.1,19.0,27.0,0.6,0.3,3.0,15.0,1.0,4.0,0.7,17.0,0.2,1.0,0.7,6.0,1.0,0.3,6.0,0.4,0.5,3.0,1.0,7.0,2.0,8.0,15.0,0.2,8.0,2.0,2.0,20.0,0.3,1.9,1.0,8.0,15.0,1.0,0.2,6.0,3.0,2.0,3.0,0.1,22.0
2021-10-09,13.0,0.2,17.0,3.0,12.0,1.0,0.7,0.2,0.1,35.0,4.0,0.5,0.4,4.6,13.0,0.8,4.0,3.0,9.0,0.4,1.1,0.7,6.0,1.0,2.0,0.8,0.1,0.6,66.0,0.5,5.0,1.0,11.0,8.0,2.0,8.0,14.0,4.0,18.0,0.3,2.0,1.0,17.0,20.0,2.0,0.1,12.0,2.7,2.0,4.0,0.1,20.0
2021-10-16,5.0,0.1,24.0,4.0,5.0,0.6,1.0,0.2,0.1,16.0,11.0,0.5,0.2,4.0,7.0,1.3,7.0,1.0,21.0,0.4,4.0,0.7,3.0,1.0,5.0,3.0,0.3,1.0,7.0,12.0,2.0,0.7,7.0,25.0,2.0,4.0,14.0,1.0,21.0,1.0,3.0,0.1,3.0,13.0,1.0,0.1,9.0,1.8,0.3,3.0,0.2,15.0
2021-10-23,6.0,1.0,5.0,3.0,10.0,1.6,1.3,0.3,0.1,28.0,13.0,0.5,0.6,2.0,7.0,0.9,7.0,0.5,11.0,0.2,4.0,2.2,2.0,1.0,14.0,2.1,0.1,0.7,2.0,1.0,11.0,2.0,10.0,34.0,0.1,12.0,10.0,1.0,22.0,0.3,2.0,2.0,5.0,6.0,1.0,0.1,16.0,1.7,2.0,7.0,0.1,19.0
2021-10-30,12.0,0.1,1.0,3.0,5.0,2.0,0.7,0.2,0.1,27.0,21.0,0.1,0.6,3.0,13.0,0.3,2.0,3.0,6.0,0.1,7.0,1.2,3.6,2.0,2.0,6.0,0.2,0.5,1.0,0.1,2.0,0.8,13.0,38.0,4.0,9.0,6.0,1.1,18.0,1.0,5.0,0.1,7.0,15.0,1.0,0.2,10.0,3.0,0.2,5.0,0.1,12.0
2021-11-06,9.0,0.1,5.0,3.0,15.0,4.0,1.4,0.3,0.1,30.0,25.0,0.1,0.2,2.0,14.0,1.2,0.3,5.0,10.0,0.1,3.0,1.3,3.5,2.0,6.0,8.0,0.2,0.3,4.0,0.1,3.0,2.0,17.0,51.0,1.0,12.0,8.0,0.7,14.0,1.0,10.0,0.2,7.0,18.0,0.3,0.1,6.0,1.1,0.2,1.0,0.1,26.0
2021-11-13,15.0,0.1,2.0,6.0,15.0,3.0,0.4,0.2,0.1,49.0,36.0,0.3,0.7,1.3,6.0,0.6,6.0,5.0,15.0,0.2,6.0,0.9,5.0,1.7,8.0,8.0,0.1,1.0,5.0,1.0,7.0,1.0,16.0,3.0,3.0,8.0,10.0,0.4,15.0,0.1,9.0,0.2,8.0,20.0,1.0,0.1,15.0,1.3,3.0,4.0,1.0,22.0
2021-11-20,16.0,0.1,4.0,9.0,17.0,2.0,2.0,0.1,0.1,49.0,21.0,0.5,2.0,5.0,15.0,1.0,2.0,2.0,4.0,0.2,3.0,4.0,7.0,2.0,10.0,5.0,0.2,0.8,20.0,0.2,12.0,1.0,23.0,3.0,1.0,9.0,10.0,1.0,24.0,0.4,4.0,2.0,7.0,23.0,0.8,0.2,14.0,1.0,0.5,5.0,4.0,19.0
2021-11-27,10.0,0.2,11.0,2.0,20.0,4.0,3.0,0.1,1.0,64.0,19.0,1.0,2.0,6.0,16.0,2.0,0.4,4.0,13.0,0.1,4.0,2.0,26.0,2.0,14.0,14.0,0.3,3.0,10.0,2.0,17.0,0.7,24.0,18.0,3.0,14.0,15.0,6.0,22.0,0.4,2.0,2.0,12.0,18.0,0.4,0.2,23.0,1.9,2.0,7.0,1.0,32.0
2021-12-04,23.0,0.2,19.0,12.0,44.0,16.0,13.0,0.1,1.0,62.0,49.0,0.5,0.4,17.0,32.0,1.0,2.0,1.0,50.0,6.0,7.0,9.0,23.0,14.0,24.0,26.0,0.1,18.0,7.0,1.0,36.0,4.0,41.0,19.0,9.0,37.0,19.0,4.0,54.0,3.0,10.0,5.0,21.0,35.0,4.0,1.0,33.0,1.0,4.0,18.0,3.0,28.0
2021-12-11,17.0,0.1,26.0,11.0,61.0,26.0,14.0,1.0,2.0,81.0,62.0,0.5,0.6,24.0,33.0,3.0,6.0,3.0,73.0,2.0,3.0,19.0,57.0,25.0,10.0,37.0,1.0,22.0,8.0,3.0,47.0,0.2,80.0,36.0,5.0,40.0,32.0,5.0,77.0,1.0,10.0,6.0,25.0,34.0,0.7,0.3,33.0,1.0,28.0,5.0,2.0,23.0
2021-12-18,23.0,2.0,36.0,13.0,60.0,32.0,18.0,6.0,1.0,83.0,53.0,0.2,2.0,26.0,46.0,3.0,10.0,9.0,80.0,1.0,27.0,15.0,55.0,41.0,16.0,44.0,2.0,11.0,7.0,9.0,69.0,6.0,82.0,41.0,6.0,65.0,30.0,7.0,79.0,3.0,12.0,4.0,31.0,54.0,1.0,0.1,35.0,2.1,4.0,22.0,1.0,19.0
2021-12-25,17.0,7.0,54.0,11.0,111.0,47.0,23.0,3.0,0.2,103.0,52.0,1.0,2.0,28.0,100.0,3.0,14.0,5.0,113.0,1.0,29.0,24.0,67.0,69.0,29.0,78.0,1.0,30.0,11.0,5.0,50.0,1.0,64.0,92.0,14.0,89.0,69.0,4.0,86.0,4.0,25.0,20.0,54.0,55.0,5.0,0.2,35.0,5.0,17.0,39.0,2.0,21.0
2022-01-01,70.0,8.0,387.0,28.0,96.0,65.0,23.0,10.0,0.3,112.0,77.0,0.6,4.0,42.0,110.0,12.0,31.0,10.0,171.0,2.0,11.0,54.0,98.0,111.0,52.0,123.0,20.0,42.0,7.0,6.0,53.0,3.0,82.0,162.0,51.0,163.0,147.0,6.0,112.0,3.0,43.0,31.0,74.0,75.0,3.0,1.0,50.0,5.0,17.0,99.0,19.0,16.0
2022-01-08,34.0,3.0,316.0,35.0,87.0,29.0,9.0,6.0,0.1,72.0,52.0,0.1,4.0,26.0,60.0,15.0,54.0,3.0,123.0,4.0,9.0,46.0,57.0,103.0,37.0,81.0,21.0,31.0,18.0,4.0,43.0,3.0,43.0,180.0,54.0,96.0,122.0,5.0,88.0,2.0,16.0,22.0,66.0,73.0,2.0,0.1,48.0,2.6,12.0,55.0,12.0,18.0
2022-01-15,17.0,12.0,23.0,30.0,75.0,24.0,2.0,0.2,0.2,102.0,38.0,0.1,3.0,41.0,46.0,12.0,32.0,18.0,60.0,0.2,16.0,42.0,54.0,67.0,36.0,71.0,12.0,28.0,44.0,1.0,26.0,2.0,48.0,128.0,40.0,65.0,102.0,4.0,59.0,1.0,9.0,26.0,31.0,49.0,1.0,1.0,37.0,6.0,4.0,42.0,3.0,14.0
2022-01-22,18.0,15.0,23.0,19.0,63.0,9.0,11.0,0.3,0.2,69.0,49.0,0.1,1.0,15.0,28.0,21.0,18.0,23.0,46.0,0.2,3.0,49.0,31.0,46.0,17.0,52.0,12.0,18.0,5.0,2.0,17.0,0.2,27.0,47.0,29.0,32.0,34.0,4.0,39.0,1.0,4.0,17.0,23.0,61.0,4.0,0.2,44.0,4.0,7.0,22.0,7.0,19.0
2022-01-29,41.0,1.0,20.0,13.0,23.0,9.0,2.0,0.3,0.2,44.0,35.0,0.2,2.0,7.0,32.0,7.0,6.0,18.0,42.0,1.0,6.0,28.0,29.0,21.0,12.0,53.0,7.0,24.0,11.0,1.0,19.0,0.2,18.0,25.0,19.0,32.0,39.0,5.0,30.0,2.0,5.0,8.0,27.0,55.0,3.0,0.1,40.0,2.0,2.0,22.0,2.0,13.0
2022-02-05,5.0,1.0,35.0,16.0,30.0,12.0,4.0,0.2,3.0,56.0,53.0,0.2,1.0,10.0,33.0,16.0,9.0,13.0,74.0,3.0,8.0,33.0,27.0,19.0,21.0,48.0,9.0,34.0,4.0,1.0,18.0,11.0,15.0,48.0,18.0,20.0,49.0,1.0,35.0,0.2,9.0,9.0,31.0,86.0,4.0,0.2,38.0,7.0,7.0,30.0,1.0,5.0
2022-02-12,9.0,0.3,53.0,23.0,28.0,27.0,0.7,0.3,0.1,47.0,41.0,0.4,1.0,8.0,31.0,46.0,22.0,11.0,85.0,5.0,6.0,30.0,40.0,20.0,21.0,46.0,13.0,29.0,8.0,9.0,20.0,4.0,27.0,25.0,7.0,26.0,68.0,2.0,50.0,0.1,11.0,18.0,21.0,133.0,3.0,0.1,34.0,8.0,2.0,29.0,2.0,15.0
2022-02-19,21.0,0.1,56.0,22.0,11.0,16.0,1.0,0.1,1.0,47.0,48.0,0.5,1.0,22.0,53.0,40.0,25.0,12.0,170.0,5.0,13.0,43.0,49.0,30.0,25.0,55.0,7.0,32.0,9.0,7.0,22.0,6.0,40.0,34.0,8.0,33.0,74.0,5.0,88.0,1.0,17.0,13.0,26.0,227.0,3.0,0.1,31.0,6.0,4.0,25.0,2.0,7.0
2022-02-26,10.0,1.0,80.0,37.0,23.0,24.0,7.0,0.3,0.2,55.0,44.0,0.3,3.0,26.0,42.0,57.0,34.0,23.0,116.0,2.0,15.0,34.0,50.0,19.0,27.0,50.0,16.0,40.0,9.0,0.4,28.0,4.0,29.0,33.0,0.1,32.0,75.0,4.0,77.0,0.1,13.0,12.0,42.0,323.0,5.0,1.0,27.0,5.0,8.0,29.0,4.0,7.0
2022-03-05,26.0,0.3,80.0,57.0,34.0,21.0,4.0,1.0,1.0,59.0,27.0,0.3,1.0,21.0,59.0,56.0,28.0,23.0,80.0,2.0,23.0,11.0,74.0,28.0,34.0,72.0,21.0,53.0,24.0,2.0,33.0,4.0,57.0,44.0,3.0,53.0,82.0,2.0,68.0,2.0,16.0,30.0,29.0,305.0,9.0,0.1,27.0,13.0,21.0,61.0,4.0,6.0
