CATCHMENT,YEAR.1,WEEK,WEEKLY RATE
California,2009,47,1
Tennessee,2009,47,0.2
Colorado,2009,47,0.6
Michigan,2009,47,0.3
New York - Rochester,2009,47,1.9
New York - Albany,2009,48,0.6
Georgia,2009,48,0.3
Minnesota,2009,48,0.4
Oregon,2009,48,0.3
Maryland,2009,48,0.5
Connecticut,2009,48,1.4
New Mexico,2009,48,0.5
California,2009,48,0.6
Tennessee,2009,48,0.2
Colorado,2009,48,0.6
Michigan,2009,48,0.2
New York - Rochester,2009,48,0.7
New York - Albany,2009,49,0.6
Georgia,2009,49,0.1
Minnesota,2009,49,0.3
Oregon,2009,49,0.3
Maryland,2009,49,0.3
Connecticut,2009,49,0.7
New Mexico,2009,49,0.3
California,2009,49,0.5
Tennessee,2009,49,0.2
Colorado,2009,49,0.3
Michigan,2009,49,0.2
New York - Rochester,2009,49,0.4
New York - Albany,2009,50,0.1
Georgia,2009,50,0.1
Minnesota,2009,50,0.1
Oregon,2009,50,0.2
Maryland,2009,50,0.3
Connecticut,2009,50,0.2
New Mexico,2009,50,0.2
California,2009,50,0.6
Tennessee,2009,50,0.2
Colorado,2009,50,0.3
Michigan,2009,50,0.2
New York - Rochester,2009,50,0.2
New York - Albany,2009,51,0
Georgia,2009,51,0.2
Minnesota,2009,51,0.1
Oregon,2009,51,0.1
Maryland,2009,51,0.4
Connecticut,2009,51,0.3
New Mexico,2009,51,0.2
California,2009,51,0.4
Tennessee,2009,51,0.1
Colorado,2009,51,0.3
Michigan,2009,51,0
New York - Rochester,2009,51,0.3
New York - Albany,2009,52,0
Georgia,2009,52,0.4
Minnesota,2009,52,0.1
Oregon,2009,52,0.1
Maryland,2009,52,0.4
Connecticut,2009,52,0.2
New Mexico,2009,52,0.2
California,2009,52,0.5
Tennessee,2009,52,0.4
Colorado,2009,52,0.4
Michigan,2009,52,0
New York - Rochester,2009,52,0.1
New York - Albany,2010,1,0
Georgia,2010,1,0.3
Minnesota,2010,1,0
Oregon,2010,1,0.1
Maryland,2010,1,0.2
Connecticut,2010,1,0.2
New Mexico,2010,1,0
California,2010,1,0.4
Colorado,2010,1,0.3
Michigan,2010,1,0
New York - Rochester,2010,1,0.2
Tennessee,2010,1,0.3
New York - Albany,2010,2,0.3
Georgia,2010,2,0.3
Minnesota,2010,2,0
Maryland,2010,2,0.1
Connecticut,2010,2,0
New Mexico,2010,2,0
California,2010,2,0.2
Colorado,2010,2,0.4
Michigan,2010,2,0
New York - Rochester,2010,2,0.3
Tennessee,2010,2,0.6
Oregon,2010,2,0
New York - Albany,2010,3,0.1
Georgia,2010,3,0.4
Minnesota,2010,3,0
Maryland,2010,3,0.4
Connecticut,2010,3,0.1
New Mexico,2010,3,0.1
California,2010,3,0.2
Colorado,2010,3,0.5
Michigan,2010,3,0
New York - Rochester,2010,3,0
Oregon,2010,3,0
Tennessee,2010,3,0.2
New York - Albany,2010,4,0.1
Georgia,2010,4,0.2
Minnesota,2010,4,0
Maryland,2010,4,0.4
Connecticut,2010,4,0.1
New Mexico,2010,4,0.2
California,2010,4,0.2
Colorado,2010,4,0.3
Michigan,2010,4,0
New York - Rochester,2010,4,0
Tennessee,2010,4,0
Oregon,2010,4,0
New York - Albany,2010,5,0
Georgia,2010,5,0.3
Minnesota,2010,5,0
Maryland,2010,5,0.1
Connecticut,2010,5,0.4
New Mexico,2010,5,0.1
California,2010,5,0.2
Colorado,2010,5,0.5
Michigan,2010,5,0.2
New York - Rochester,2010,5,0.1
Oregon,2010,5,0
Tennessee,2010,5,0.2
New York - Albany,2010,6,0.1
Georgia,2010,6,0.3
Minnesota,2010,6,0
Oregon,2010,6,0
Maryland,2010,6,0.2
Connecticut,2010,6,0.5
New Mexico,2010,6,0.2
California,2010,6,0.1
Tennessee,2010,6,0.2
Colorado,2010,6,0.2
Michigan,2010,6,0.1
New York - Rochester,2010,6,0
New York - Albany,2010,7,0
Georgia,2010,7,0.7
Minnesota,2010,7,0
Oregon,2010,7,0
Maryland,2010,7,0.1
Connecticut,2010,7,0.2
New Mexico,2010,7,0.1
California,2010,7,0.1
Tennessee,2010,7,0.1
Colorado,2010,7,0.3
Michigan,2010,7,0
New York - Rochester,2010,7,0
New York - Albany,2010,8,0
Georgia,2010,8,0.4
Minnesota,2010,8,0
Oregon,2010,8,0
Maryland,2010,8,0.1
Connecticut,2010,8,0.2
New Mexico,2010,8,0.2
California,2010,8,0.1
Tennessee,2010,8,0.2
Colorado,2010,8,0.2
Michigan,2010,8,0.1
New York - Rochester,2010,8,0
New York - Albany,2010,9,0
Georgia,2010,9,0.5
Minnesota,2010,9,0
Oregon,2010,9,0
Maryland,2010,9,0.1
Connecticut,2010,9,0
New Mexico,2010,9,0
California,2010,9,0.1
Tennessee,2010,9,0.1
Colorado,2010,9,0.3
Michigan,2010,9,0.1
New York - Rochester,2010,9,0
New York - Albany,2010,10,0.1
Georgia,2010,10,0.6
Minnesota,2010,10,0
Oregon,2010,10,0
Maryland,2010,10,0.1
Connecticut,2010,10,0.1
New Mexico,2010,10,0.1
California,2010,10,0.1
Tennessee,2010,10,0.2
Colorado,2010,10,0.2
Michigan,2010,10,0.1
New York - Rochester,2010,10,0
New York - Albany,2010,11,0
Georgia,2010,11,0.4
Minnesota,2010,11,0
Oregon,2010,11,0
Maryland,2010,11,0.1
Connecticut,2010,11,0
New Mexico,2010,11,0.1
California,2010,11,0
Tennessee,2010,11,0.2
Colorado,2010,11,0.2
Michigan,2010,11,0.2
New York - Rochester,2010,11,0.2
New York - Albany,2010,12,0
Georgia,2010,12,0.2
Minnesota,2010,12,0
Oregon,2010,12,0
Maryland,2010,12,0.1
Connecticut,2010,12,0
New Mexico,2010,12,0.2
California,2010,12,0
Tennessee,2010,12,0.2
Colorado,2010,12,0.2
Michigan,2010,12,0
New York - Rochester,2010,12,0
New York - Albany,2010,13,0
Georgia,2010,13,0.2
Minnesota,2010,13,0
Oregon,2010,13,0
Maryland,2010,13,0.1
Connecticut,2010,13,0
New Mexico,2010,13,0.2
California,2010,13,0
Tennessee,2010,13,0.1
Colorado,2010,13,0.1
Michigan,2010,13,0.1
New York - Rochester,2010,13,0
New York - Albany,2010,14,0
Georgia,2010,14,0
Minnesota,2010,14,0
Oregon,2010,14,0
Maryland,2010,14,0.1
Connecticut,2010,14,0.1
New Mexico,2010,14,0
California,2010,14,0.1
Tennessee,2010,14,0
Colorado,2010,14,0.2
Michigan,2010,14,0
New York - Rochester,2010,14,0
New York - Albany,2010,15,0
Georgia,2010,15,0.1
Minnesota,2010,15,0
Oregon,2010,15,0
Maryland,2010,15,0.1
Connecticut,2010,15,0
New Mexico,2010,15,0.1
California,2010,15,0.1
Tennessee,2010,15,0.1
Colorado,2010,15,0.2
Michigan,2010,15,0.1
New York - Rochester,2010,15,0
New York - Albany,2010,16,0
Georgia,2010,16,0
Minnesota,2010,16,0
Oregon,2010,16,0
Maryland,2010,16,0
Connecticut,2010,16,0
New Mexico,2010,16,0.1
California,2010,16,0.1
Tennessee,2010,16,0
Colorado,2010,16,0.1
Michigan,2010,16,0.1
New York - Rochester,2010,16,0
New York - Albany,2010,17,0
Georgia,2010,17,0
Minnesota,2010,17,0
Oregon,2010,17,0
Maryland,2010,17,0
Connecticut,2010,17,0
New Mexico,2010,17,0.1
California,2010,17,0
Tennessee,2010,17,0
Colorado,2010,17,0.1
Michigan,2010,17,0.1
New York - Rochester,2010,17,0
New York - Albany,2010,40,0
Georgia,2010,40,0
Minnesota,2010,40,0
Oregon,2010,40,0
Maryland,2010,40,0.1
Connecticut,2010,40,0
New Mexico,2010,40,0.1
California,2010,40,0.1
Tennessee,2010,40,0
Colorado,2010,40,0.1
Utah,2010,40,0.1
Michigan,2010,40,0
New York - Rochester,2010,40,0
Ohio,2010,40,0
New York - Albany,2010,41,0
Georgia,2010,41,0
Minnesota,2010,41,0
Oregon,2010,41,0
Maryland,2010,41,0.1
Connecticut,2010,41,0
New Mexico,2010,41,0
California,2010,41,0.1
Tennessee,2010,41,0
Colorado,2010,41,0.1
Utah,2010,41,0.1
Michigan,2010,41,0.2
New York - Rochester,2010,41,0
Ohio,2010,41,0
New York - Albany,2010,42,0.1
Georgia,2010,42,0
Minnesota,2010,42,0
Oregon,2010,42,0
Maryland,2010,42,0.2
Connecticut,2010,42,0
New Mexico,2010,42,0
California,2010,42,0
Tennessee,2010,42,0.1
Colorado,2010,42,0.1
Utah,2010,42,0.1
Michigan,2010,42,0.1
New York - Rochester,2010,42,0.1
Ohio,2010,42,0
New York - Albany,2010,43,0
Georgia,2010,43,0
Minnesota,2010,43,0.1
Oregon,2010,43,0
Maryland,2010,43,0.2
Connecticut,2010,43,0.1
New Mexico,2010,43,0
California,2010,43,0.1
Tennessee,2010,43,0
Colorado,2010,43,0.2
Utah,2010,43,0.2
Michigan,2010,43,0.1
New York - Rochester,2010,43,0
Ohio,2010,43,0
New York - Albany,2010,44,0
Georgia,2010,44,0.1
Minnesota,2010,44,0.1
Oregon,2010,44,0
Maryland,2010,44,0
Connecticut,2010,44,0.1
New Mexico,2010,44,0.1
California,2010,44,0
Tennessee,2010,44,0
Colorado,2010,44,0.2
Utah,2010,44,0.3
Michigan,2010,44,0
New York - Rochester,2010,44,0.1
Ohio,2010,44,0.1
New York - Albany,2010,45,0
Georgia,2010,45,0.2
Minnesota,2010,45,0
Oregon,2010,45,0
Maryland,2010,45,0
Connecticut,2010,45,0
New Mexico,2010,45,0
California,2010,45,0
Tennessee,2010,45,0
Colorado,2010,45,0.1
Utah,2010,45,0.1
Michigan,2010,45,0
New York - Rochester,2010,45,0
Ohio,2010,45,0
New York - Albany,2010,46,0.2
Georgia,2010,46,0.3
Minnesota,2010,46,0.1
Oregon,2010,46,0
Maryland,2010,46,0.1
Connecticut,2010,46,0.2
New Mexico,2010,46,0
California,2010,46,0
Tennessee,2010,46,0
Colorado,2010,46,0.2
Utah,2010,46,0.3
Michigan,2010,46,0
New York - Rochester,2010,46,0
Ohio,2010,46,0
New York - Albany,2010,47,0.1
Georgia,2010,47,0.3
Minnesota,2010,47,0.1
Oregon,2010,47,0
Maryland,2010,47,0
Connecticut,2010,47,0.2
New Mexico,2010,47,0
California,2010,47,0.1
Tennessee,2010,47,0.1
Colorado,2010,47,0.1
Utah,2010,47,0.8
Michigan,2010,47,0
New York - Rochester,2010,47,0.1
Ohio,2010,47,0
New York - Albany,2010,48,0.1
Georgia,2010,48,0.6
Minnesota,2010,48,0.1
Oregon,2010,48,0
Maryland,2010,48,0.1
Connecticut,2010,48,0.2
New Mexico,2010,48,0
California,2010,48,0.1
Tennessee,2010,48,0.1
Colorado,2010,48,0.3
Utah,2010,48,1.1
Michigan,2010,48,0
New York - Rochester,2010,48,0
Ohio,2010,48,0
New York - Albany,2010,49,0
Georgia,2010,49,0.8
Minnesota,2010,49,0.2
Oregon,2010,49,0
Maryland,2010,49,0.1
Connecticut,2010,49,0.3
New Mexico,2010,49,0.2
California,2010,49,0.2
Tennessee,2010,49,0.1
Colorado,2010,49,0.4
Utah,2010,49,1.2
Michigan,2010,49,0.1
New York - Rochester,2010,49,0
Ohio,2010,49,0
New York - Albany,2010,50,0.3
Georgia,2010,50,0.8
Minnesota,2010,50,0.2
Oregon,2010,50,0.1
Maryland,2010,50,0.2
Connecticut,2010,50,0.6
New Mexico,2010,50,0
California,2010,50,0.2
Tennessee,2010,50,0.1
Colorado,2010,50,0.3
Utah,2010,50,1.6
Michigan,2010,50,0.2
New York - Rochester,2010,50,0.2
Ohio,2010,50,0.2
New York - Albany,2010,51,0.7
Georgia,2010,51,0.8
Minnesota,2010,51,0.3
Oregon,2010,51,0.1
Maryland,2010,51,0.6
Connecticut,2010,51,1.2
New Mexico,2010,51,0.2
California,2010,51,0.2
Tennessee,2010,51,0.2
Colorado,2010,51,0.7
Utah,2010,51,2.7
Michigan,2010,51,0.2
New York - Rochester,2010,51,0
Ohio,2010,51,0.4
New York - Albany,2010,52,0.9
Georgia,2010,52,0.7
Minnesota,2010,52,0.8
Oregon,2010,52,0
Maryland,2010,52,0.7
Connecticut,2010,52,3.1
New Mexico,2010,52,0.2
California,2010,52,0.1
Tennessee,2010,52,0.7
Colorado,2010,52,0.8
Utah,2010,52,2.9
Michigan,2010,52,0
New York - Rochester,2010,52,0.3
Ohio,2010,52,0.8
New York - Albany,2011,1,0.9
Georgia,2011,1,0.9
Minnesota,2011,1,0.3
Oregon,2011,1,0.1
Maryland,2011,1,0.9
Connecticut,2011,1,3.2
New Mexico,2011,1,0.4
California,2011,1,0.4
Tennessee,2011,1,0.7
Colorado,2011,1,0.6
Utah,2011,1,2.5
Michigan,2011,1,0
New York - Rochester,2011,1,0.3
Ohio,2011,1,1.2
New York - Albany,2011,2,0.9
Georgia,2011,2,0.6
Minnesota,2011,2,0.2
Oregon,2011,2,0.3
Maryland,2011,2,1.1
Connecticut,2011,2,2.3
New Mexico,2011,2,0.2
California,2011,2,0.4
Tennessee,2011,2,1.2
Colorado,2011,2,0.7
Utah,2011,2,1.5
Michigan,2011,2,0.1
New York - Rochester,2011,2,0.5
Ohio,2011,2,1.8
New York - Albany,2011,3,1.6
Georgia,2011,3,0.3
Minnesota,2011,3,0.4
Oregon,2011,3,0.1
Maryland,2011,3,1.9
Connecticut,2011,3,2.5
New Mexico,2011,3,0.9
California,2011,3,0.8
Tennessee,2011,3,0.8
Colorado,2011,3,0.8
Utah,2011,3,2.3
Michigan,2011,3,0.1
New York - Rochester,2011,3,0.7
Ohio,2011,3,2.7
New York - Albany,2011,4,1.1
Georgia,2011,4,0.8
Minnesota,2011,4,0.6
Oregon,2011,4,0.3
Maryland,2011,4,2.7
Connecticut,2011,4,2.5
New Mexico,2011,4,0.9
California,2011,4,0.7
Tennessee,2011,4,0.9
Colorado,2011,4,1.4
Utah,2011,4,1.3
Michigan,2011,4,0.2
New York - Rochester,2011,4,1.1
Ohio,2011,4,2.2
New York - Albany,2011,5,1.3
Georgia,2011,5,1.2
Minnesota,2011,5,0.9
Oregon,2011,5,0.3
Maryland,2011,5,2.9
Connecticut,2011,5,4.1
New Mexico,2011,5,1.7
California,2011,5,1.2
Tennessee,2011,5,1.2
Colorado,2011,5,2
Utah,2011,5,1.4
Michigan,2011,5,0.4
New York - Rochester,2011,5,1.1
Ohio,2011,5,1.7
New York - Albany,2011,6,0.7
Georgia,2011,6,0.8
Minnesota,2011,6,0.9
Oregon,2011,6,1
Maryland,2011,6,1.8
Connecticut,2011,6,3.3
New Mexico,2011,6,2.2
California,2011,6,1.6
Tennessee,2011,6,0.8
Colorado,2011,6,1.5
Utah,2011,6,1.1
Michigan,2011,6,0.8
New York - Rochester,2011,6,2.2
Ohio,2011,6,1.8
New York - Albany,2011,7,0.7
Georgia,2011,7,1.6
Minnesota,2011,7,0.9
Oregon,2011,7,1
Maryland,2011,7,2.8
Connecticut,2011,7,4.3
New Mexico,2011,7,2.3
California,2011,7,1.6
Tennessee,2011,7,0.7
Colorado,2011,7,2.5
Utah,2011,7,2.4
Michigan,2011,7,1
New York - Rochester,2011,7,4.1
Ohio,2011,7,1.1
New York - Albany,2011,8,0.8
Georgia,2011,8,1.3
Minnesota,2011,8,1.4
Oregon,2011,8,1.4
Maryland,2011,8,2.7
Connecticut,2011,8,4.7
New Mexico,2011,8,2.3
California,2011,8,1.7
Tennessee,2011,8,1.1
Colorado,2011,8,2.3
Utah,2011,8,1.9
Michigan,2011,8,1.2
New York - Rochester,2011,8,5.5
Ohio,2011,8,1
New York - Albany,2011,9,0.6
Georgia,2011,9,0.9
Minnesota,2011,9,1.4
Oregon,2011,9,2
Maryland,2011,9,1.9
Connecticut,2011,9,4
New Mexico,2011,9,1.9
California,2011,9,2.3
Tennessee,2011,9,0.5
Colorado,2011,9,2
Utah,2011,9,2
Michigan,2011,9,1
New York - Rochester,2011,9,4.7
Ohio,2011,9,0.7
New York - Albany,2011,10,0.8
Georgia,2011,10,0.4
Minnesota,2011,10,1.4
Oregon,2011,10,1.6
Maryland,2011,10,1.2
Connecticut,2011,10,4.2
New Mexico,2011,10,1.1
California,2011,10,1.7
Tennessee,2011,10,0.5
Colorado,2011,10,1.4
Utah,2011,10,1.5
Michigan,2011,10,0.9
New York - Rochester,2011,10,3
Ohio,2011,10,0.5
New York - Albany,2011,11,0.8
Georgia,2011,11,0.3
Minnesota,2011,11,1.4
Oregon,2011,11,1.2
Maryland,2011,11,0.7
Connecticut,2011,11,3.8
New Mexico,2011,11,0.5
California,2011,11,1.3
Tennessee,2011,11,0.3
Colorado,2011,11,1.3
Utah,2011,11,1.3
Michigan,2011,11,0.5
New York - Rochester,2011,11,2.8
Ohio,2011,11,0.4
New York - Albany,2011,12,0.5
Georgia,2011,12,0.2
Minnesota,2011,12,0.9
Oregon,2011,12,1.3
Maryland,2011,12,0.2
Connecticut,2011,12,1.6
New Mexico,2011,12,0.3
California,2011,12,0.9
Tennessee,2011,12,0.2
Colorado,2011,12,0.9
Utah,2011,12,1.3
Michigan,2011,12,0.2
New York - Rochester,2011,12,2.1
Ohio,2011,12,0.1
New York - Albany,2011,13,0.8
Georgia,2011,13,0.1
Minnesota,2011,13,0.5
Oregon,2011,13,0.8
Maryland,2011,13,0.3
Connecticut,2011,13,1.7
New Mexico,2011,13,0
California,2011,13,0.6
Tennessee,2011,13,0.1
Colorado,2011,13,0.4
Utah,2011,13,0.6
Michigan,2011,13,0.2
New York - Rochester,2011,13,1.5
Ohio,2011,13,0.3
New York - Albany,2011,14,0.8
Georgia,2011,14,0.1
Minnesota,2011,14,0.4
Oregon,2011,14,0.3
Maryland,2011,14,0.3
Connecticut,2011,14,1.1
New Mexico,2011,14,0.1
California,2011,14,0.3
New York - Rochester,2011,14,1.1
Tennessee,2011,14,0.1
Colorado,2011,14,0.4
Utah,2011,14,0.6
Michigan,2011,14,0.2
Ohio,2011,14,0.1
New York - Albany,2011,15,0.7
Georgia,2011,15,0.2
Minnesota,2011,15,0.2
Oregon,2011,15,0.5
Maryland,2011,15,0.2
Connecticut,2011,15,0.9
New Mexico,2011,15,0.1
California,2011,15,0.1
New York - Rochester,2011,15,1.1
Tennessee,2011,15,0
Colorado,2011,15,0.1
Utah,2011,15,0.2
Michigan,2011,15,0.2
Ohio,2011,15,0.1
New York - Albany,2011,16,0.4
Georgia,2011,16,0
Minnesota,2011,16,0.3
Oregon,2011,16,0.2
Maryland,2011,16,0.1
Connecticut,2011,16,1
New Mexico,2011,16,0
California,2011,16,0.2
New York - Rochester,2011,16,0.4
Tennessee,2011,16,0
Colorado,2011,16,0
Utah,2011,16,0.3
Michigan,2011,16,0
Ohio,2011,16,0.1
New York - Albany,2011,17,0.1
Georgia,2011,17,0
Minnesota,2011,17,0.1
Oregon,2011,17,0.1
Maryland,2011,17,0.1
Connecticut,2011,17,0.3
New Mexico,2011,17,0.1
California,2011,17,0.1
New York - Rochester,2011,17,0.3
Tennessee,2011,17,0
Colorado,2011,17,0.3
Utah,2011,17,0.1
Michigan,2011,17,0.1
Ohio,2011,17,0
New York - Albany,2011,40,0
Georgia,2011,40,0
Minnesota,2011,40,0
Oregon,2011,40,0.1
Maryland,2011,40,0
Connecticut,2011,40,0.2
New Mexico,2011,40,0.1
California,2011,40,0
New York - Rochester,2011,40,0
Tennessee,2011,40,0.1
Colorado,2011,40,0
Utah,2011,40,0
Michigan,2011,40,0
Ohio,2011,40,0
New York - Albany,2011,41,0.1
Georgia,2011,41,0
Minnesota,2011,41,0
Oregon,2011,41,0
Maryland,2011,41,0
Connecticut,2011,41,0
New Mexico,2011,41,0
California,2011,41,0
New York - Rochester,2011,41,0
Tennessee,2011,41,0
Colorado,2011,41,0
Utah,2011,41,0
Michigan,2011,41,0
Ohio,2011,41,0
New York - Albany,2011,42,0.1
Georgia,2011,42,0
Minnesota,2011,42,0
Oregon,2011,42,0
Maryland,2011,42,0.1
Connecticut,2011,42,0
New Mexico,2011,42,0
California,2011,42,0
New York - Rochester,2011,42,0
Tennessee,2011,42,0.1
Colorado,2011,42,0
Utah,2011,42,0.1
Michigan,2011,42,0
Ohio,2011,42,0.1
New York - Albany,2011,43,0
Georgia,2011,43,0
Minnesota,2011,43,0
Oregon,2011,43,0
Maryland,2011,43,0
Connecticut,2011,43,0
New Mexico,2011,43,0
California,2011,43,0
New York - Rochester,2011,43,0
Tennessee,2011,43,0
Colorado,2011,43,0
Utah,2011,43,0
Michigan,2011,43,0
Ohio,2011,43,0
New York - Albany,2011,44,0
Georgia,2011,44,0
Minnesota,2011,44,0
Oregon,2011,44,0
Maryland,2011,44,0.1
Connecticut,2011,44,0.1
New Mexico,2011,44,0
California,2011,44,0
New York - Rochester,2011,44,0
Tennessee,2011,44,0
Colorado,2011,44,0
Utah,2011,44,0
Michigan,2011,44,0
Ohio,2011,44,0
New York - Albany,2011,45,0
Georgia,2011,45,0
Minnesota,2011,45,0
Oregon,2011,45,0
Maryland,2011,45,0
Connecticut,2011,45,0
New Mexico,2011,45,0
California,2011,45,0
New York - Rochester,2011,45,0
Tennessee,2011,45,0
Colorado,2011,45,0
Utah,2011,45,0
Michigan,2011,45,0
Ohio,2011,45,0
New York - Albany,2011,46,0
Georgia,2011,46,0
Minnesota,2011,46,0.1
Oregon,2011,46,0
Maryland,2011,46,0
Connecticut,2011,46,0
New Mexico,2011,46,0
California,2011,46,0
New York - Rochester,2011,46,0
Tennessee,2011,46,0
Colorado,2011,46,0
Utah,2011,46,0
Michigan,2011,46,0
Ohio,2011,46,0
New York - Albany,2011,47,0
Georgia,2011,47,0
Minnesota,2011,47,0
Oregon,2011,47,0
Maryland,2011,47,0.1
Connecticut,2011,47,0
New Mexico,2011,47,0.1
California,2011,47,0
New York - Rochester,2011,47,0.1
Tennessee,2011,47,0
Colorado,2011,47,0.1
Utah,2011,47,0
Michigan,2011,47,0
Ohio,2011,47,0
New York - Albany,2011,48,0
Georgia,2011,48,0
Minnesota,2011,48,0
Oregon,2011,48,0
Maryland,2011,48,0.1
Connecticut,2011,48,0
New Mexico,2011,48,0
California,2011,48,0.1
New York - Rochester,2011,48,0
Tennessee,2011,48,0
Colorado,2011,48,0
Utah,2011,48,0.1
Michigan,2011,48,0
Ohio,2011,48,0
New York - Albany,2011,49,0
Georgia,2011,49,0
Minnesota,2011,49,0
Oregon,2011,49,0
Maryland,2011,49,0
Connecticut,2011,49,0.1
New Mexico,2011,49,0
California,2011,49,0.1
New York - Rochester,2011,49,0
Tennessee,2011,49,0
Colorado,2011,49,0
Utah,2011,49,0.2
Michigan,2011,49,0
Ohio,2011,49,0
New York - Albany,2011,50,0
Georgia,2011,50,0
Minnesota,2011,50,0
Oregon,2011,50,0.1
Maryland,2011,50,0.1
Connecticut,2011,50,0
New Mexico,2011,50,0
California,2011,50,0
New York - Rochester,2011,50,0
Tennessee,2011,50,0
Colorado,2011,50,0.2
Utah,2011,50,0.3
Michigan,2011,50,0
Ohio,2011,50,0
New York - Albany,2011,51,0
Georgia,2011,51,0
Minnesota,2011,51,0
Oregon,2011,51,0
Maryland,2011,51,0
Connecticut,2011,51,0
New Mexico,2011,51,0
California,2011,51,0.1
New York - Rochester,2011,51,0
Tennessee,2011,51,0
Colorado,2011,51,0.2
Utah,2011,51,0.2
Michigan,2011,51,0
Ohio,2011,51,0
New York - Albany,2011,52,0
Georgia,2011,52,0
Minnesota,2011,52,0
Oregon,2011,52,0
Maryland,2011,52,0.1
Connecticut,2011,52,0.1
New Mexico,2011,52,0.2
California,2011,52,0.3
New York - Rochester,2011,52,0
Tennessee,2011,52,0.1
Colorado,2011,52,0.1
Utah,2011,52,0.1
Michigan,2011,52,0
Ohio,2011,52,0.1
New York - Albany,2012,1,0
Georgia,2012,1,0.1
Minnesota,2012,1,0
Oregon,2012,1,0
Maryland,2012,1,0
Connecticut,2012,1,0.1
New Mexico,2012,1,0.1
California,2012,1,0.2
New York - Rochester,2012,1,0
Tennessee,2012,1,0
Colorado,2012,1,0.2
Utah,2012,1,0
Michigan,2012,1,0.1
Ohio,2012,1,0
New York - Albany,2012,2,0
Georgia,2012,2,0
Minnesota,2012,2,0.1
Oregon,2012,2,0
Maryland,2012,2,0.1
Connecticut,2012,2,0.2
New Mexico,2012,2,0.1
California,2012,2,0.2
New York - Rochester,2012,2,0
Tennessee,2012,2,0
Colorado,2012,2,0.2
Utah,2012,2,0
Michigan,2012,2,0
Ohio,2012,2,0
New York - Albany,2012,3,0.1
Georgia,2012,3,0
Minnesota,2012,3,0
Oregon,2012,3,0.1
Maryland,2012,3,0
Connecticut,2012,3,0.1
New Mexico,2012,3,0
California,2012,3,0.2
New York - Rochester,2012,3,0
Tennessee,2012,3,0
Colorado,2012,3,0.3
Utah,2012,3,0.2
Michigan,2012,3,0
Ohio,2012,3,0
New York - Albany,2012,4,0
Georgia,2012,4,0.1
Minnesota,2012,4,0.1
Oregon,2012,4,0.2
Maryland,2012,4,0
Connecticut,2012,4,0
New Mexico,2012,4,0
California,2012,4,0.3
New York - Rochester,2012,4,0
Tennessee,2012,4,0
Colorado,2012,4,0.2
Utah,2012,4,0.3
Michigan,2012,4,0
Ohio,2012,4,0
New York - Albany,2012,5,0
Georgia,2012,5,0
